f1,f2,f3,f4,f5,dangerous,trial,sequence,sim_response,correct,performance,c,w,agent,subject
1,1,1,1,0,1,1,1,1,1,1,0.1,informed,informed_c01,1
1,1,1,1,1,1,2,2,0,0,0.5,0.1,informed,informed_c01,1
0,0,1,1,1,0,3,3,0,1,0.6666666666666666,0.1,informed,informed_c01,1
1,1,1,0,1,1,4,4,0,0,0.5,0.1,informed,informed_c01,1
1,0,1,0,1,1,5,5,0,0,0.4,0.1,informed,informed_c01,1
1,1,1,1,1,1,6,6,1,1,0.5,0.1,informed,informed_c01,1
1,1,1,1,1,1,7,7,1,1,0.5714285714285714,0.1,informed,informed_c01,1
0,1,0,1,1,0,8,8,0,1,0.625,0.1,informed,informed_c01,1
1,0,0,1,1,0,9,9,0,1,0.6666666666666666,0.1,informed,informed_c01,1
1,0,1,0,1,1,10,10,0,0,0.6,0.1,informed,informed_c01,1
1,0,1,1,0,1,11,11,0,0,0.5454545454545454,0.1,informed,informed_c01,1
1,1,0,1,1,0,12,12,0,1,0.5833333333333334,0.1,informed,informed_c01,1
1,1,1,1,0,1,13,13,1,1,0.6153846153846154,0.1,informed,informed_c01,1
0,0,1,0,0,0,14,14,0,1,0.6428571428571429,0.1,informed,informed_c01,1
1,1,0,1,1,0,15,15,0,1,0.6666666666666666,0.1,informed,informed_c01,1
0,1,1,1,0,0,16,16,0,1,0.6875,0.1,informed,informed_c01,1
0,0,1,0,1,0,17,17,1,0,0.6470588235294118,0.1,informed,informed_c01,1
0,0,1,1,1,0,18,18,0,1,0.6666666666666666,0.1,informed,informed_c01,1
0,0,0,1,0,0,19,19,0,1,0.6842105263157895,0.1,informed,informed_c01,1
0,0,0,1,1,0,20,20,0,1,0.7,0.1,informed,informed_c01,1
1,1,1,0,0,1,21,21,1,1,0.7142857142857143,0.1,informed,informed_c01,1
0,1,1,0,0,0,22,22,0,1,0.7272727272727273,0.1,informed,informed_c01,1
1,0,1,1,1,1,23,23,1,1,0.7391304347826086,0.1,informed,informed_c01,1
1,1,0,1,0,0,24,24,0,1,0.75,0.1,informed,informed_c01,1
1,0,1,1,0,1,25,25,1,1,0.76,0.1,informed,informed_c01,1
0,1,0,1,0,0,26,26,0,1,0.7692307692307693,0.1,informed,informed_c01,1
1,0,1,1,1,1,27,27,0,0,0.7407407407407407,0.1,informed,informed_c01,1
1,0,1,0,1,1,28,28,1,1,0.75,0.1,informed,informed_c01,1
0,0,1,1,0,0,29,29,0,1,0.7586206896551724,0.1,informed,informed_c01,1
1,0,1,0,0,1,30,30,0,0,0.7333333333333333,0.1,informed,informed_c01,1
1,1,1,1,1,1,31,31,1,1,0.7419354838709677,0.1,informed,informed_c01,1
0,1,0,0,1,0,32,32,0,1,0.75,0.1,informed,informed_c01,1
0,0,0,1,1,0,33,33,0,1,0.7575757575757576,0.1,informed,informed_c01,1
0,1,0,0,1,0,34,34,0,1,0.7647058823529411,0.1,informed,informed_c01,1
1,0,1,1,0,1,35,35,0,0,0.7428571428571429,0.1,informed,informed_c01,1
0,1,0,1,1,0,36,36,1,0,0.7222222222222222,0.1,informed,informed_c01,1
1,1,0,1,1,0,37,37,1,0,0.7027027027027027,0.1,informed,informed_c01,1
0,0,1,1,0,0,38,38,1,0,0.6842105263157895,0.1,informed,informed_c01,1
1,0,1,0,1,1,39,39,1,1,0.6923076923076923,0.1,informed,informed_c01,1
1,1,1,1,0,1,40,40,1,1,0.7,0.1,informed,informed_c01,1
1,1,1,0,0,1,41,41,0,0,0.6829268292682927,0.1,informed,informed_c01,1
0,0,1,1,1,0,42,42,1,0,0.6666666666666666,0.1,informed,informed_c01,1
1,0,0,1,1,0,43,43,0,1,0.6744186046511628,0.1,informed,informed_c01,1
1,1,0,1,1,0,44,44,0,1,0.6818181818181818,0.1,informed,informed_c01,1
0,0,1,0,1,0,45,45,0,1,0.6888888888888889,0.1,informed,informed_c01,1
1,1,1,1,0,1,46,46,1,1,0.6956521739130435,0.1,informed,informed_c01,1
0,1,1,1,0,0,47,47,0,1,0.7021276595744681,0.1,informed,informed_c01,1
1,0,1,1,0,1,48,48,0,0,0.6875,0.1,informed,informed_c01,1
0,0,0,1,0,0,49,49,0,1,0.6938775510204082,0.1,informed,informed_c01,1
1,0,1,0,1,1,50,50,1,1,0.7,0.1,informed,informed_c01,1
1,1,1,1,1,1,51,51,1,1,0.7058823529411765,0.1,informed,informed_c01,1
1,1,1,1,1,1,52,52,0,0,0.6923076923076923,0.1,informed,informed_c01,1
1,1,1,1,1,1,53,53,1,1,0.6981132075471698,0.1,informed,informed_c01,1
1,0,1,1,1,1,54,54,0,0,0.6851851851851852,0.1,informed,informed_c01,1
1,1,1,0,1,1,55,55,1,1,0.6909090909090909,0.1,informed,informed_c01,1
0,0,1,0,0,0,56,56,0,1,0.6964285714285714,0.1,informed,informed_c01,1
1,1,1,1,1,1,57,57,0,0,0.6842105263157895,0.1,informed,informed_c01,1
1,0,1,0,1,1,58,58,0,0,0.6724137931034483,0.1,informed,informed_c01,1
1,0,1,1,1,1,59,59,1,1,0.6779661016949152,0.1,informed,informed_c01,1
1,1,0,1,0,0,60,60,0,1,0.6833333333333333,0.1,informed,informed_c01,1
0,1,0,1,0,0,61,61,0,1,0.6885245901639344,0.1,informed,informed_c01,1
0,0,1,1,1,0,62,62,1,0,0.6774193548387096,0.1,informed,informed_c01,1
1,0,1,0,0,1,63,63,1,1,0.6825396825396826,0.1,informed,informed_c01,1
0,1,1,0,0,0,64,64,1,0,0.671875,0.1,informed,informed_c01,1
1,1,1,1,0,1,65,65,0,0,0.6615384615384615,0.1,informed,informed_c01,1
1,1,1,1,0,1,66,66,1,1,0.6666666666666666,0.1,informed,informed_c01,1
1,0,1,0,0,1,67,67,1,1,0.6716417910447762,0.1,informed,informed_c01,1
1,0,1,0,1,1,68,68,1,1,0.6764705882352942,0.1,informed,informed_c01,1
1,1,1,1,1,1,69,69,0,0,0.6666666666666666,0.1,informed,informed_c01,1
1,0,1,0,1,1,70,70,0,0,0.6571428571428571,0.1,informed,informed_c01,1
0,0,1,1,1,0,71,71,1,0,0.647887323943662,0.1,informed,informed_c01,1
1,1,1,0,0,1,72,72,0,0,0.6388888888888888,0.1,informed,informed_c01,1
0,0,1,1,0,0,73,73,0,1,0.6438356164383562,0.1,informed,informed_c01,1
1,0,0,1,1,0,74,74,0,1,0.6486486486486487,0.1,informed,informed_c01,1
1,0,1,1,0,1,75,75,1,1,0.6533333333333333,0.1,informed,informed_c01,1
0,0,1,1,1,0,76,76,0,1,0.6578947368421053,0.1,informed,informed_c01,1
1,1,0,1,1,0,77,77,0,1,0.6623376623376623,0.1,informed,informed_c01,1
1,1,1,1,1,1,78,78,0,0,0.6538461538461539,0.1,informed,informed_c01,1
1,0,1,1,0,1,79,79,1,1,0.6582278481012658,0.1,informed,informed_c01,1
0,1,0,0,1,0,80,80,1,0,0.65,0.1,informed,informed_c01,1
